id,followers_count,friends_count,screen_name,lang,verified
794754703334612992,2,38,luthfiya_khayla,en,false
1155893966,18,81,SolusiBangunan,en,false
793455872693374976,7,148,danielvargasvi4,es,false
794753553927704577,3,258,JoseHerrera1203,es,false
794563388223340544,3,117,elvina2303,id,false
794753299392110593,2,21,barryclare375,en,false
794747531330809856,2,75,futboltotalMR,es,false
778857878589407232,107,797,calum174,en,false
794751698145316869,20,89,JoseGre14688477,es,false
794750632498515968,2,82,7kash28,en-gb,false
794547362081476608,4,81,Prince80113806,en,false
794750697917054976,6,86,HARSHZAVERI4,en,false
794750606745419776,6,56,BeltranzitoCort,es,false
794750561740427265,4,107,HyqalAnuar01,en,false
2457017992,54,314,JBisum,en,false
794749793637699585,4,99,kyle02ferguson1,en-gb,false
198675643,357,308,baxterrodman,en,false
3244819422,13,67,MrKomoto1,en,false
794747818619600896,9,190,JoseGam11,es,false
793304849441955840,1,8,pratin_jitaree,th,false
794747250681315328,11,90,Ajayyadav917990,en,false
794747955005820928,3,100,cidaferreira048,pt,false
794443628118736897,17,112,edwin96182409,en,false
794746103707144192,2,54,Princeleo1020,en,false
794618822162518016,9,98,mosibudi_matema,en,false
794730665153437696,2,39,Ryan96450657,id,false
4111122195,6,178,alsayedghaly,ar,false
794745756078870528,2,97,RamonRamonjmz,en,false
789111632051990528,7,157,CesarFa96447372,es,false
794740201755000834,17,65,Taj_Bashanta,en,false
2981062761,33,310,lagrintaa12,fr,false
2330451060,117,155,JohariRahim,en,false
794745749145812992,2,63,JoaoVitorMeloM1,pt,false
794743133183438848,2,137,liver9256,en,false
782641756781158400,46,375,katjunior1,en,false
792781129321484288,10,185,Sebastianorduz9,es,false
794743281225728000,9,80,Mayitagi1912,es,false
794744514216857600,13,110,betechomomi,fr,false
1496259817,36,1586,OTOMJERRY1,en,false
779804576471928833,4,91,JRODRIGO1404,es,false
794742659311169537,6,121,TomasRojasToma2,es,false
794744305831309312,2,44,Zahidabbas2531,en,false
794744043032821760,5,243,dion_wehrsig,en,false
1789838754,64,337,claytonray1291,en,false
794743051000418304,1,98,xandefire,pt,false
794743078493880321,26,303,shahilDJ1,en,false
794731753470619648,4,130,Ramawtarprasad3,en,false
146046531,37,33,ashish_prince90,en,false
794742431677812736,5,73,tylerhillier10,en,false
794741603172806656,3,160,ZakiGhulami,sv,false
782103730749444096,16,97,kakuislie,en,false
